"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\public\manifest.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\Matteo\Desktop\Progetti\scaletta\public\sw.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 13, 15, 139
"d:\Matteo\Desktop\Progetti\scaletta\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 21, 0, 0, 1, 3, 25
"d:\Matteo\Desktop\Progetti\scaletta\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 192, 0, 0, 0, 21, 28, 241
"d:\Matteo\Desktop\Progetti\scaletta\src\STRUTTURA.md", "Markdown", 0, 0, 0, 534, 0, 0, 0, 0, 0, 157, 691
"d:\Matteo\Desktop\Progetti\scaletta\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Matteo\Desktop\Progetti\scaletta\src\components\auth\AuthModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 8, 20, 159
"d:\Matteo\Desktop\Progetti\scaletta\src\components\auth\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\AddBentoBoxButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 317, 0, 0, 0, 48, 31, 396
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\AnagraficaBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 338, 0, 0, 0, 65, 40, 443
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\BENTO_BOX.md", "Markdown", 0, 0, 0, 605, 0, 0, 0, 0, 0, 173, 778
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\BaseBentoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 235, 0, 0, 0, 61, 29, 325
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\BentoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 15, 6, 82
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\BentoGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 13, 5, 45
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\CameraFab.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 24, 10, 99
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\ChecklistBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 244, 0, 0, 0, 43, 24, 311
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\FileBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 392, 0, 0, 0, 75, 50, 517
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\NoteBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 23, 8, 119
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\PdfBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 439, 0, 0, 0, 67, 51, 557
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\PhotoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 367, 0, 0, 0, 63, 42, 472
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\TutorialBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 11, 6, 57
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\VersionBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 478, 0, 0, 0, 75, 52, 605
